-,1980s,1990s,2.5d,_two_d,2d_fighter,360_video,_three_d,3d_platformer,3d_vision,4_player_local,4x,6dof,atv,abstract,action,action_rpg,action_adventure,addictive,adventure,agriculture,aliens,alternate_history,america,animation_&_modeling,anime,assassin,asynchronous_multiplayer,atmospheric,audio_production,bmx,base_building,baseball,based_on_a_novel,basketball,batman,battle_royale,beat_em_up,beautiful,benchmark,bikes,blood,board_game,bowling,building,bullet_hell,bullet_time,crpg,capitalism,card_game,cartoon,cartoony,casual,cats,character_action_game,character_customization,chess,choices_matter,choose_your_own_adventure,cinematic,city_builder,class_based,classic,clicker,co_op,co_op_campaign,cold_war,colorful,comedy,comic_book,competitive,conspiracy,controller,conversation,crafting,crime,crowdfunded,cult_classic,cute,cyberpunk,cycling,dark,dark_comedy,dark_humor,dating_sim,demons,design_&_illustration,destruction,detective,difficult,dinosaurs,diplomacy,documentary,dog,dragons,drama,driving,dungeon_crawler,dungeons_&_dragons,dynamic_narration,dystopian_,early_access,economy,education,emotional,epic,episodic,experience,experimental,exploration,fmv,fps,faith,family_friendly,fantasy,fast_paced,feature_film,female_protagonist,fighting,first_person,fishing,flight,football,foreign,free_to_play,funny,futuristic,gambling,game_development,gamemaker,games_workshop,gaming,god_game,golf,gore,gothic,grand_strategy,great_soundtrack,grid_based_movement,gun_customization,hack_and_slash,hacking,hand_drawn,hardware,heist,hex_grid,hidden_object,historical,hockey,horror,horses,hunting,illuminati,indie,intentionally_awkward_controls,interactive_fiction,inventory_management,investigation,isometric,jrpg,jet,kickstarter,lego,lara_croft,lemmings,level_editor,linear,local_co_op,local_multiplayer,logic,loot,lore_rich,lovecraftian,mmorpg,moba,magic,management,mars,martial_arts,massively_multiplayer,masterpiece,match_3,mature,mechs,medieval,memes,metroidvania,military,mini_golf,minigames,minimalist,mining,mod,moddable,modern,motocross,motorbike,mouse_only,movie,multiplayer,multiple_endings,music,music_based_procedural_generation,mystery,mystery_dungeon,mythology,nsfw,narration,naval,ninja,noir,nonlinear,nudity,offroad,old_school,on_rails_shooter,online_co_op,open_world,otome,parkour,parody_,party_based_rpg,perma_death,philisophical,photo_editing,physics,pinball,pirates,pixel_graphics,platformer,point_&_click,political,politics,pool,post_apocalyptic,procedural_generation,programming,psychedelic,psychological,psychological_horror,puzzle,puzzle_platformer,pve,pvp,quick_time_events,rpg,rpgmaker,rts,racing,real_time_tactics,real_time,real_time_with_pause,realistic,relaxing,remake,replay_value,resource_management,retro,rhythm,robots,rogue_like,rogue_lite,romance,rome,runner,sailing,sandbox,satire,sci_fi,science,score_attack,sequel,sexual_content,shoot_em_up,shooter,short,side_scroller,silent_protagonist,simulation,singleplayer,skateboarding,skating,skiing,sniper,snow,snowboarding,soccer,software,software_training,sokoban,souls_like,soundtrack,space,space_sim,spectacle_fighter,spelling,split_screen,sports,star_wars,stealth,steam_machine,steampunk,story_rich,strategy,strategy_rpg,stylized,submarine,superhero,supernatural,surreal,survival,survival_horror,swordplay,tactical,tactical_rpg,tanks,team_based,tennis,text_based,third_person,third_person_shooter,thriller,time_attack,time_management,time_manipulation,time_travel,top_down,top_down_shooter,touch_friendly,tower_defense,trackir,trading,trading_card_game,trains,transhumanism,turn_based,turn_based_combat,turn_based_strategy,turn_based_tactics,tutorial,twin_stick_shooter,typing,underground,underwater,unforgiving,utilities,vr,vr_only,vampire,video_production,villain_protagonist,violent,visual_novel,voice_control,voxel,walking_simulator,war,wargame,warhammer_40k,web_publishing,werewolves,western,word_game,world_war_i,world_war_ii,wrestling,zombies
martial_arts,3,0,1,67,5,0,1,3,4,4,5,1,0,0,687,41,10,4,443,2,4,1,5,1,92,0,3,81,0,0,29,0,1,1,2,43,9,5,0,0,2,9,0,69,10,0,0,2,35,4,8,291,0,0,54,0,3,3,1,4,13,11,4,254,1,3,10,27,3,48,2,36,1,99,2,0,1,19,7,0,5,2,6,6,1,1,10,0,40,8,1,0,0,14,0,22,13,2,0,0,370,8,5,0,1,0,1,4,42,0,194,1,35,108,24,0,16,25,162,9,16,4,0,510,86,15,6,2,1,1,1,1,4,88,0,4,56,2,4,31,4,2,0,1,4,2,19,0,51,2,4,8,549,0,1,2,0,16,15,0,4,0,0,0,9,1,5,9,0,12,2,1,190,48,15,13,2,2,968,1,1,7,12,20,34,2,37,3,0,2,2,15,12,0,0,0,3,1,504,0,3,1,5,0,2,0,0,11,2,0,0,59,2,2,0,130,313,0,7,1,1,6,0,0,20,0,11,43,21,0,0,1,1,37,2,3,0,1,26,15,4,41,175,0,416,2,26,68,5,10,1,53,17,1,12,3,17,2,16,11,5,0,0,0,5,157,0,70,3,0,0,29,2,187,1,17,0,278,209,0,0,0,1,0,1,4,2,0,0,0,1,46,9,0,0,2,68,0,7,1,9,17,345,6,2,0,5,2,1,198,17,4,63,3,22,53,0,4,83,43,0,2,0,0,0,6,8,1,9,4,5,16,0,0,34,11,21,13,0,2,0,0,2,0,2,66,14,0,0,0,105,2,0,13,23,52,2,1,1,1,5,0,2,30,0,73
massively_multiplayer,1,26,3,62,1,0,3,3,4,2,8,0,0,2,160,21,7,12,152,3,12,5,1,2,21,2,0,170,2,0,7,0,1,1,0,0,7,15,0,0,9,1,1,8,6,4,5,0,2,2,1,122,2,4,12,1,12,2,7,6,0,111,0,33,0,5,5,36,1,8,3,18,0,0,4,0,25,22,9,0,21,1,4,8,5,1,1,3,59,3,0,0,5,2,3,4,3,3,1,7,8,7,10,8,17,2,1,5,24,3,44,0,23,46,35,0,31,6,51,3,1,0,0,12,36,6,0,3,1,1,1,2,0,28,7,8,125,0,2,8,0,2,0,0,1,1,12,0,38,5,0,7,149,1,3,5,1,12,10,0,2,1,1,0,4,8,12,11,31,3,1,1,0,0,11,8,0,1,1,289,1,10,0,12,26,4,6,0,1,2,0,0,33,1,0,0,1,0,68,7,37,1,7,0,1,1,2,1,1,3,1,18,2,17,0,9,38,1,4,2,8,3,1,0,6,0,4,22,28,22,2,3,0,6,6,1,3,6,9,66,9,0,2,1,57,3,12,8,1,7,17,11,56,22,24,5,40,1,6,4,3,13,1,2,1,23,3,56,0,4,2,13,6,56,12,33,5,64,245,0,0,0,0,0,0,1,4,2,0,0,0,22,3,4,0,0,9,4,18,0,10,92,49,0,9,0,1,2,12,14,7,2,15,2,1,2,0,1,47,16,0,2,3,2,4,3,1,2,2,1,1,0,2,0,17,7,9,1,2,1,0,1,3,5,3,5,1,3,1,3,15,12,0,0,6,10,1,1,1,1,0,2,3,5,0,9
masterpiece,1,1,0,42,0,0,0,0,0,1,0,0,0,1,33,0,0,5,54,0,0,0,0,0,27,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,2,0,0,0,8,3,2,231,1,0,0,0,0,0,0,1,0,2,1,3,0,1,19,4,2,4,0,2,0,1,0,0,1,27,0,0,2,0,2,11,1,0,1,0,9,0,0,0,0,1,0,0,2,0,0,0,12,0,3,0,0,0,0,0,0,0,1,0,20,18,2,0,16,1,0,0,0,1,0,12,9,1,0,0,0,1,0,0,0,2,0,0,24,0,0,2,1,12,0,0,0,7,0,0,1,0,0,1,153,0,0,0,0,0,3,0,0,0,0,0,2,6,1,5,4,0,0,0,0,0,5,0,0,0,1,1,246,10,1,1,4,0,0,0,0,4,0,0,0,0,0,0,17,0,7,0,2,1,2,0,0,4,0,0,1,1,0,22,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,10,1,1,0,0,0,0,1,0,1,0,3,144,1,0,0,0,40,1,0,1,0,1,0,0,25,0,5,0,10,1,0,3,3,2,0,0,0,1,0,2,1,0,1,22,2,2,2,0,0,10,70,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,3,0,0,0,2,16,65,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,3,0,0,1,0,0,2,2,1,3,0,0,0,0,1,0,0,2,0,0,0,2,4,8,0,1,0,0,0,0,0,0,0,0,1,0,0,5
match_3,4,3,4,83,6,0,3,2,5,3,0,0,0,1,171,8,10,9,244,0,2,4,5,1,227,1,0,115,0,0,0,0,7,0,2,1,18,4,0,0,15,3,0,0,7,0,0,1,5,2,5,194,3,3,18,0,45,11,5,0,0,23,5,28,0,3,11,75,7,10,0,7,0,3,22,1,9,96,3,0,59,3,25,95,7,2,1,16,36,0,0,0,3,3,20,5,5,0,0,3,22,1,5,6,3,11,2,7,23,1,42,0,10,57,12,0,131,16,42,0,0,1,0,35,92,2,1,0,1,0,0,0,0,90,1,1,140,0,2,21,1,4,0,1,0,3,7,0,83,1,3,19,278,1,6,0,2,7,37,0,2,0,0,0,0,8,7,8,0,0,2,6,4,1,4,7,1,1,7,10,10,405,2,5,82,4,3,0,2,1,0,0,10,4,0,0,3,0,59,34,7,0,35,1,0,39,4,1,5,10,4,290,1,2,2,10,54,9,6,2,5,3,1,0,6,0,1,20,9,24,5,2,0,11,2,0,8,15,91,73,3,1,1,7,117,32,0,10,1,0,1,10,33,5,16,2,13,2,3,2,1,65,0,0,0,17,11,15,0,0,0,263,9,45,11,10,2,107,260,0,0,0,0,0,0,0,1,0,1,1,1,1,0,2,0,0,10,0,18,1,1,180,52,0,4,0,4,2,11,30,30,2,3,1,0,2,0,1,44,24,10,0,0,0,0,4,7,0,1,0,1,1,0,0,13,5,3,0,1,3,0,0,0,0,3,17,4,2,0,9,90,132,0,0,13,7,0,0,0,0,0,0,1,4,0,20
mature,1,1,4,23,0,0,1,3,0,6,1,2,0,0,128,1,2,0,38,0,6,1,0,0,32,0,0,9,0,0,6,0,0,0,0,0,4,0,0,0,0,3,0,2,14,2,0,1,2,0,1,13,0,3,9,0,1,2,0,0,0,4,0,20,1,0,3,6,0,10,0,14,0,3,0,0,1,3,10,0,1,0,1,1,0,0,10,0,24,2,0,0,0,0,0,0,3,0,0,3,27,1,0,0,1,1,0,1,3,1,14,0,3,1,17,0,7,4,8,0,6,0,0,12,6,18,0,0,2,1,0,0,1,8,0,1,38,0,5,7,0,1,0,0,3,0,0,0,6,0,0,0,105,0,1,0,0,7,1,0,1,0,0,0,1,1,8,8,0,1,1,1,1,2,0,5,0,0,12,0,1,2,153,0,2,1,3,0,0,0,0,0,2,0,0,0,1,0,38,1,0,0,0,0,0,0,0,0,2,0,0,8,0,0,1,11,12,0,0,1,0,2,0,0,0,0,0,12,11,1,0,0,0,8,6,0,0,0,1,5,3,3,13,0,25,0,12,2,2,1,2,2,0,1,6,1,10,0,54,11,11,3,0,0,0,7,0,74,1,3,0,5,27,48,1,7,0,28,63,0,0,0,0,0,0,0,0,0,0,1,0,19,3,5,0,5,4,0,3,0,4,14,44,0,0,0,1,0,3,9,0,1,17,1,2,6,0,1,16,22,0,1,0,1,0,10,10,0,5,0,0,0,0,0,15,6,10,8,0,10,0,1,1,0,0,9,1,0,0,0,8,6,0,0,1,6,1,1,0,0,0,0,0,0,0,3
mechs,4,3,0,48,0,0,2,1,3,2,8,0,0,1,152,40,14,6,151,5,1,4,0,0,6,7,0,98,0,0,21,0,6,0,0,0,4,3,0,0,5,6,0,33,1,0,6,2,7,4,7,61,0,2,25,0,25,9,0,30,3,45,3,46,0,0,8,18,0,8,4,18,0,21,0,2,9,9,0,0,24,3,11,1,3,0,4,0,49,0,3,0,0,10,2,0,15,2,0,1,71,22,4,1,3,3,0,2,25,0,14,0,5,117,12,0,17,9,32,0,0,0,0,21,35,0,0,0,2,2,0,1,0,32,6,16,82,0,0,31,0,2,0,1,4,2,59,0,17,3,1,1,183,0,7,3,0,16,5,0,6,0,0,0,3,3,5,7,0,10,3,0,16,3,39,28,0,0,20,12,1,5,0,286,3,4,6,0,1,4,0,1,14,0,0,0,2,0,91,11,0,0,7,1,4,0,2,1,3,0,2,15,0,5,0,11,75,1,4,0,7,7,0,0,12,0,2,25,15,9,4,7,0,0,10,0,0,1,1,22,2,10,19,3,144,1,52,0,7,16,10,14,10,9,29,27,29,0,2,11,10,2,4,1,1,69,1,5,1,2,2,4,1,9,2,13,0,90,188,0,0,0,0,0,0,0,0,0,0,3,0,2,0,4,2,3,0,0,15,0,8,66,143,7,4,1,0,0,1,45,2,18,28,10,0,3,0,1,48,1,0,0,0,1,0,11,0,3,12,0,9,2,0,0,25,16,19,14,0,0,1,0,0,2,0,9,2,1,0,3,35,6,0,2,4,29,1,0,0,0,0,1,0,0,0,6
medieval,4,4,4,112,10,0,6,5,3,13,0,0,0,2,334,8,12,2,315,1,6,0,6,7,195,2,0,116,0,0,3,0,0,1,0,8,11,1,0,0,7,5,1,11,15,1,1,2,7,12,8,331,9,2,20,0,27,9,0,1,1,16,16,62,2,12,31,215,2,9,2,12,1,9,4,2,5,91,8,0,26,22,39,76,7,6,10,5,82,1,0,0,3,2,4,2,4,0,0,3,68,5,14,3,1,6,2,16,24,9,67,2,71,51,26,0,103,18,89,1,1,2,0,76,281,8,4,2,4,1,0,5,2,81,0,0,199,4,1,9,6,5,0,4,1,2,8,0,109,3,2,72,482,3,0,1,0,4,37,1,2,1,0,1,6,4,25,29,4,4,3,2,8,2,7,16,0,0,34,26,4,82,2,3,619,7,5,3,0,6,0,2,11,2,0,0,2,1,130,24,17,1,24,0,1,22,1,1,7,0,0,174,1,2,2,24,75,3,9,25,2,2,2,0,25,0,1,63,48,25,18,17,0,11,3,3,2,5,157,51,6,2,10,4,131,34,1,22,0,4,1,18,31,5,30,4,34,8,9,8,5,31,0,4,0,34,16,39,3,4,0,156,7,61,25,24,0,220,314,1,0,0,1,0,0,2,7,3,1,1,2,12,2,0,0,6,25,1,13,0,1,148,100,3,7,0,6,3,10,59,44,5,4,1,1,5,1,4,29,11,2,3,1,1,5,5,8,3,5,0,2,7,0,1,20,10,3,2,1,4,3,0,3,0,3,36,6,0,3,4,80,87,0,4,32,8,0,1,0,1,3,0,0,10,2,24
memes,4,2,13,188,0,0,1,5,2,4,0,0,0,1,239,17,25,2,215,0,4,0,0,0,31,0,0,60,0,0,1,0,0,0,3,0,17,5,0,0,3,0,0,1,7,1,0,0,0,3,4,34,1,5,2,0,0,1,1,0,0,15,0,18,0,0,15,18,4,2,0,55,0,2,0,2,3,37,14,0,12,1,3,0,3,1,0,3,79,0,0,0,2,0,2,0,5,0,0,2,26,0,0,0,2,1,0,3,80,0,2,1,12,35,9,0,66,5,5,0,2,0,0,6,28,3,0,0,4,0,0,0,0,20,5,0,118,0,0,21,0,11,0,0,0,1,3,0,22,0,0,1,253,0,0,0,0,2,1,0,8,0,0,0,2,1,13,7,0,3,1,3,0,0,7,0,1,0,2,4,0,4,1,4,7,273,0,0,0,5,2,1,0,1,0,0,1,1,17,7,2,1,5,0,2,1,2,0,5,3,4,12,0,5,0,5,27,0,1,3,0,5,1,0,8,1,1,115,205,2,0,0,0,8,9,0,2,1,4,48,32,0,0,0,68,0,0,0,0,0,0,1,3,5,10,1,72,1,16,18,12,0,0,0,0,5,2,45,0,0,2,10,8,17,13,94,3,0,149,0,0,0,0,0,0,0,0,0,0,14,5,12,0,4,0,0,0,0,8,0,3,38,4,0,4,0,3,1,3,6,4,0,0,0,0,0,0,0,8,2,0,0,0,5,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,4,0,1,17,0,0,2,0,0,0,0,0,1,1,0,0,0,2,8
metroidvania,2,4,0,16,0,0,1,0,1,0,7,1,0,0,179,1,4,2,56,1,8,15,11,0,10,1,1,59,0,0,14,0,1,0,0,0,0,0,1,0,6,2,0,5,2,2,2,1,3,1,1,21,0,0,1,0,5,2,2,3,2,41,0,89,0,17,0,3,0,16,0,11,0,4,1,0,2,3,2,0,5,0,0,1,0,1,8,0,35,0,7,0,2,0,2,0,0,0,2,1,40,5,8,2,4,0,0,0,4,0,99,0,2,3,7,0,3,0,88,0,17,0,0,28,9,10,0,0,1,0,0,0,0,24,0,30,36,0,4,1,1,1,0,1,4,0,84,0,6,1,1,2,100,0,0,0,0,5,2,1,1,0,0,0,3,8,2,4,0,1,0,0,1,4,0,7,0,0,37,6,0,3,3,6,5,0,239,0,0,0,0,2,26,9,0,0,1,0,153,1,0,0,0,0,0,0,0,20,1,0,2,5,0,2,2,29,60,0,0,1,1,1,1,0,5,0,3,4,1,0,8,4,0,3,2,0,0,1,2,3,0,1,27,2,16,2,56,0,27,15,12,72,0,3,16,6,5,0,3,0,1,1,2,0,3,40,0,18,0,2,0,4,2,115,3,3,2,133,168,0,0,0,8,0,0,0,0,0,0,0,0,4,1,1,0,0,1,1,18,0,1,17,167,2,0,4,0,0,0,22,2,2,130,3,32,34,0,0,17,11,0,0,1,0,0,4,3,0,4,6,1,1,0,0,28,10,26,13,0,1,0,0,2,0,1,14,2,0,0,0,29,5,0,1,2,158,27,1,0,0,0,0,9,68,0,17
military,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,19,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,1,0,2,0,2,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,17,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,24,0,3,0,1,1,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,1,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mini_golf,0,0,0,11,0,0,0,0,0,2,0,0,0,1,15,1,1,3,9,0,2,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,1,2,3,16,0,0,1,0,1,1,0,0,0,0,0,3,0,0,5,10,0,1,0,3,1,0,2,0,0,5,0,0,0,0,1,2,1,1,1,0,2,0,0,0,0,0,2,2,1,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,4,4,2,0,7,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,2,0,0,7,0,1,1,0,5,0,0,1,2,0,0,3,0,0,1,23,0,0,0,0,0,2,0,0,0,0,0,3,0,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,29,2,0,1,0,0,0,0,3,0,7,0,0,0,1,0,1,0,0,1,0,0,0,2,1,1,0,1,2,1,0,1,1,0,0,0,1,1,1,7,2,4,0,0,0,1,0,0,1,2,4,9,0,0,1,0,6,0,0,3,0,0,0,0,5,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,1,4,0,1,6,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,6,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,2
minigames,4,1,2,223,0,0,9,8,0,8,1,1,0,84,197,0,10,31,103,1,3,2,0,0,12,1,0,159,4,0,0,0,0,0,0,0,2,13,0,1,2,4,0,5,12,4,0,1,6,5,11,324,1,0,2,4,16,2,3,2,1,15,15,11,2,0,68,14,1,19,1,55,0,4,1,0,3,35,10,0,23,2,5,2,2,4,4,0,194,0,0,0,0,0,2,1,3,0,1,0,13,3,11,1,1,0,1,31,28,0,9,0,74,13,65,0,9,2,18,0,3,0,0,8,40,10,0,0,8,0,4,2,2,9,0,0,151,6,2,1,5,11,1,1,11,6,2,0,14,0,0,9,441,1,3,0,0,14,1,0,2,0,0,0,18,9,14,16,24,0,1,1,0,1,3,3,0,0,2,2,4,1,0,4,6,5,0,3,2,450,1,0,3,3,0,0,45,0,17,5,21,4,22,1,2,0,4,1,2,1,3,4,0,5,0,3,12,0,8,1,0,8,4,0,68,0,1,44,82,11,2,1,0,4,16,4,12,8,6,249,46,0,4,1,14,1,4,16,1,1,7,2,140,1,43,4,58,10,3,5,5,2,0,21,1,15,1,36,8,19,1,4,13,27,73,24,5,51,292,0,0,1,0,0,1,0,0,0,7,0,15,24,1,1,0,2,15,0,3,1,1,17,93,1,31,0,2,0,39,9,1,1,8,0,0,3,0,2,6,1,0,5,0,2,0,26,9,24,7,0,0,3,2,0,16,2,7,2,7,6,1,0,1,0,2,13,3,0,1,0,10,5,0,1,11,1,1,0,0,1,0,2,0,1,0,5
minimalist,0,0,1,9,0,0,2,0,1,1,1,0,0,0,20,1,1,0,20,3,1,0,0,0,1,0,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,2,0,1,4,22,0,0,0,0,0,0,0,1,0,1,2,5,0,0,5,1,0,1,0,4,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,14,4,0,0,0,0,0,0,13,0,0,0,5,8,0,0,3,1,4,0,1,0,0,5,3,2,0,0,0,0,0,0,0,1,0,0,8,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,33,0,0,0,0,0,0,0,1,0,0,0,1,0,3,3,1,3,0,0,1,0,3,8,0,0,2,0,0,0,0,0,0,2,0,0,0,1,39,0,1,2,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,2,0,3,3,4,2,0,0,0,2,9,0,0,0,0,3,0,0,1,0,12,0,1,1,0,1,0,2,6,0,2,5,4,0,2,0,1,0,0,0,1,13,0,11,0,0,0,0,0,0,1,2,0,19,24,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,1,0,0,0,0,2,0,15,0,2,0,0,0,0,7,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,1,0,0,0,0,0,5,0,0,0,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0,2
mining,0,1,0,2,1,0,0,0,0,0,1,0,0,0,31,0,0,0,22,1,2,0,0,2,1,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,2,1,9,0,25,1,0,0,2,0,3,0,2,0,2,0,0,2,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,5,0,0,0,1,7,2,2,0,1,0,0,1,2,0,22,0,4,2,2,0,0,1,22,0,0,0,0,18,13,2,0,2,0,0,0,0,1,6,0,1,7,0,1,2,2,0,0,0,0,0,3,0,10,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,6,0,0,15,0,0,0,0,1,2,1,2,1,1,0,0,40,16,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17,16,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,3,1,1,0,1,2,3,0,1,3,0,5,0,7,3,4,5,1,12,1,2,2,1,3,0,1,0,0,0,0,0,0,13,0,6,0,0,0,0,1,21,1,0,0,18,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,3,13,0,0,0,0,0,0,12,4,1,4,1,0,2,0,0,4,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,1,3,3,0,0,0,0,2,0,0,2,0,12
mod,1,14,3,42,1,0,3,6,3,3,30,0,1,1,169,14,4,11,135,6,14,2,2,3,8,0,2,100,1,0,20,0,2,0,0,0,2,3,1,0,2,3,1,45,2,0,2,4,1,3,5,53,0,0,28,1,4,0,1,16,3,69,0,86,1,3,13,24,0,26,1,10,0,18,8,3,11,5,6,0,4,0,2,2,7,1,8,0,46,0,7,0,0,6,1,25,9,0,0,4,44,33,22,0,9,1,1,3,39,0,60,0,28,32,18,0,18,7,88,2,7,0,0,15,42,11,0,3,1,3,0,2,1,27,1,33,111,3,0,5,2,0,0,0,7,0,31,0,23,2,0,0,133,0,0,3,0,13,2,0,6,1,0,0,19,4,11,11,0,4,3,2,2,0,8,44,2,2,12,33,0,10,2,14,11,0,26,1,0,3,1,16,266,4,1,1,2,1,164,3,3,2,0,0,1,2,0,2,2,0,0,3,3,13,0,34,99,0,4,1,5,6,0,0,31,0,1,14,9,3,4,6,0,10,11,3,1,2,5,11,3,3,10,0,67,0,37,24,15,16,22,49,20,4,52,18,20,1,4,8,5,1,3,1,0,118,4,77,3,3,1,3,2,72,4,4,6,129,230,0,0,0,0,0,0,0,2,0,0,2,1,35,9,0,0,3,7,6,7,1,4,43,133,2,1,0,0,0,1,32,10,3,47,1,3,16,0,0,47,16,0,0,0,1,2,15,6,5,7,9,6,0,4,0,36,5,33,8,0,3,1,0,1,1,1,10,1,0,1,0,10,1,0,2,3,37,2,2,0,0,2,0,4,11,0,24
moddable,0,0,0,11,0,0,2,0,0,0,0,1,0,1,13,1,1,2,17,0,0,2,2,0,5,0,0,15,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,6,1,0,0,3,0,0,2,15,0,0,1,0,5,2,1,3,0,4,1,4,0,4,6,4,0,1,2,3,0,1,1,0,2,7,2,0,1,0,1,2,0,0,1,0,5,0,2,0,0,0,4,5,0,0,2,1,8,8,4,3,0,0,1,2,6,0,7,0,10,2,0,0,1,0,10,0,0,0,0,2,10,2,2,0,0,0,0,0,0,1,0,2,12,0,0,0,1,1,1,0,0,1,2,0,2,0,1,0,29,0,0,0,0,2,1,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,1,9,0,0,0,1,0,4,0,0,2,1,9,0,0,3,2,1,4,41,0,0,1,0,6,3,2,0,1,0,0,2,0,2,0,0,0,3,0,5,0,0,5,0,0,0,1,0,0,0,2,0,0,4,1,1,3,1,0,0,0,0,1,2,1,10,0,0,1,0,7,2,1,4,3,2,3,14,8,0,3,6,2,0,2,0,0,1,0,0,0,5,1,4,0,0,0,2,1,8,1,0,1,25,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,2,1,2,9,16,0,4,0,0,1,2,2,1,0,7,0,0,1,0,0,8,3,1,0,0,1,0,0,0,0,0,0,0,0,3,2,4,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,3,5,0,0,0,10,2,0,0,0,0,0,0,0,0,2
